OS;Abertura;Conclusão;Local;Oficina;Tipo Manutenção;Tempo Atender;Status OS
000396/2026;05/01/2026;06/01/2026;Cozinha container;Carpintaria ;Substituição/Reparo;Rápido;Concluída
000421/2026;05/01/2026;06/01/2026;Cozinha container;Carpintaria ;Substituição/Reparo;Rápido;Concluída
000423/2026;05/01/2026;06/01/2026;Sala 127;Carpintaria ;Substituição/Reparo;Rápido;Concluída
000638/2026;06/01/2026;13/01/2026;Banheiro 125;Pintura;Substituição/Reparo;Rápido;Concluída
000647/2026;06/01/2026;09/01/2026;Area externa;Pintura;Substituição/Reparo;Rápido;Concluída
000686/2026;06/01/2026;12/01/2026;Sala 114;Pintura;Substituição/Reparo;Rápido;Concluída
000700/2026;06/01/2026;09/01/2026;Sala 115;Pintura;Substituição/Reparo;Rápido;Concluída
000704/2026;06/01/2026;12/01/2026;Sala 127;Carpintaria ;Substituição/Reparo;Rápido;Concluída
000928/2026;07/01/2026;09/01/2026;Sala 116;Pintura;Substituição/Reparo;Rápido;Concluída
001234/2026;08/01/2026;;Salas bloco 3;Carpintaria ;Substituição/Reparo;Rápido;Aberta
003133/2026;21/012026;24/01/2026;Area externa;Elétrica;Substituição/Reparo;Rápido;Concluída
003136/2026;21/01/2026;24/01/2026;Area externa;Elétrica;Substituição/Reparo;Rápido;Concluída
003109/2026;21/01/2026;23/02/2026;Sala 127;Pintura;Substituição/Reparo;Rápido;Concluída
003151/2026;21/01/2026;02/02/2026;Sala 122;Pintura;Substituição/Reparo;Rápido;Concluída
003151/2026;21/01/2026;02/02/2026;Sala 123;Pintura;Substituição/Reparo;Rápido;Concluída
003240/2026;21/01/2026;30/01/2026;Area externa;Pintura;Substituição/Reparo;Rápido;Concluída
003242/2026;21/01/2025;28/01/2026;Area externa;Pintura;Substituição/Reparo;Rápido;Concluída
003253/2026;22/01/2025;22/01/2026;Sala 117;Carpintaria ;Substituição/Reparo;Rápido;Concluída
003329/2026;22/01/2025;27/01/2026;Sala 115;Carpintaria ;Substituição/Reparo;Rápido;Concluída
003332/2026;22/01/2025;23/01/2026;Sala 118;Carpintaria ;Substituição/Reparo;Rápido;Concluída
003333/2026;22/01/2025;26/01/2026;Area externa;Elétrica;Substituição/Reparo;Rápido;Concluída
003334/2026;22/01/2025;26/01/2026;Sala 109;Carpintaria ;Substituição/Reparo;Rápido;Concluída
003336/2026;22/01/2025;27/01/2026;Sala 124;Carpintaria ;Substituição/Reparo;Rápido;Concluída
003338/2026;22/01/2025;27/01/2026;Sala 124;Carpintaria ;Substituição/Reparo;Rápido;Concluída
003421/2026;22/01/2025;29/01/2026;Sala 122;Pintura;Substituição/Reparo;Rápido;Concluída
003422/2026;22/01/2025;28/01/2026;Sala 123;Pintura;Substituição/Reparo;Rápido;Concluída
003424/2026;22/01/2025;28/01/2026;Sala 124;Pintura;Substituição/Reparo;Rápido;Concluída
003425/2026;22/01/2025;30/01/2026; Sala 126;Pintura;Substituição/Reparo;Rápido;Concluída
003482/2026;22/01/2025;26/01/2026;Sala 117;Carpintaria ;Substituição/Reparo;Rápido;Concluída
003796/2026;23/01/2026;27/01/2026;Sala 109;Carpintaria ;Substituição/Reparo;Rápido;Concluída
003859/2026;26/01/2026;27/01/2026;Sala 126;Pintura;Substituição/Reparo;Rápido;Concluída
003862/2026;26/01/2026;-;Sala 124;Pintura;Substituição/Reparo;Não Veio;Cancelada
003864/2026;26/01/2026;29/01/2026;Sala 123;Pintura;Substituição/Reparo;Rápido;Concluída
003866/2026;26/01/2026;-;Sala 122;Pintura;Substituição/Reparo;Não Veio;Cancelada
003867/2026;26/01/2026;30/01/2026;Sala 126;Pintura;Substituição/Reparo;Rápido;Concluída
003868/2026;26/01/2026;30/01/2026;Sala 124;Pintura;Substituição/Reparo;Rápido;Concluída
003874/2026;26/01/2026;30/01/2026;Sala 123;Pintura;Substituição/Reparo;Rápido;Concluída
003876/2026;26/01/2026;29/01/2026;Sala 122;Pintura;Substituição/Reparo;Rápido;Concluída
003878/2026;26/01/2026;30/01/2026;Sala 125;Pintura;Substituição/Reparo;Rápido;Concluída
003879/2026;26/01/2026;30/01/2026;Sala 107;Pintura;Substituição/Reparo;Rápido;Concluída
003881/2026;26/01/2026;30/01/2026;Sala 113;Pintura;Substituição/Reparo;Rápido;Concluída
003885/2026;26/01/2026;29/01/2026;Area externa;Pintura;Substituição/Reparo;Rápido;Concluída
003890/2026;26/01/2026;02/02/2026;Cozinha container;DEMEC;Substituição/Reparo;Rápido;Concluída
004003/2026;26/01/2026;30/01/2026;Area externa;Hidraúlica;Substituição/Reparo;Rápido;Concluída
004058/2026;26/01/2026;28/01/2026;Bloco 2;Elétrica;Substituição/Reparo;Rápido;Concluída
004090/2026;26/01/2026;28/01/2026;Bloco 2;Elétrica;Substituição/Reparo;Rápido;Concluída
004201/2026;27/01/2026;30/01/2026;Refeitório trabalhadores;Refrigeração;Substituição/Reparo;Rápido;Concluída
004345/2026;27/01/2026;04/02/2026;Sala 115;Pintura;Substituição/Reparo;Rápido;Concluída
004357/2026;27/01/2026;03/02/2026;Sala 104;Pintura;Substituição/Reparo;Rápido;Concluída
004626/2026;28/01/2026;08/02/2026;Bloco 2;Elétrica;Substituição/Reparo;Rápido;Concluída
004630/2026;28/01/2026;26/02/2026;Bloco 2;Elétrica;Substituição/Reparo;Rápido;Concluída
004631/2026;28/01/2026;30/01/2026;Sala 109;Carpintaria ;Substituição/Reparo;Rápido;Concluída
004978/2026;30/01/2026;02/02/2026;Sala 117;Vidraçaria;Substituição/Reparo;Rápido;Concluída
005048/2026;30/01/2026;03/02/2026;Sala 117;Refrigeração;Substituição/Reparo;Rápido;Concluída
005082/2026;30/01/2026;05/02/2026;Sala 117;Elétrica;Substituição/Reparo;Rápido;Concluída
005083/2026;30/01/2026;03/02/2026;Sala 119;Refrigeração;Substituição/Reparo;Rápido;Concluída
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
